Table 1
die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
3 3/8 X 7 1/16  BK,25 x 38,8,# 14,9 1/16 x 7 15/16,1 1/2
3 3/8 X 7 1/16  BK,28 x 40,12,# 14,9 1/16 x 7 15/16,1 1/2
,,,,,
,,,,,
#6 1/4 REMIT - 3 1/2 x 6,8 1/2 X 10 1/2,1,# 70,8 x 10,3 1/4
#6 1/4 REMIT - 3 1/2 x 6,11 x 17 ,1,# 70,8 x 10,3 1/4
#6 1/4 REMIT - 3 1/2 x 6,17 1/2 x 22 1/2,4,# 70,8 x 10,3 1/4
#6 1/4 REMIT - 3 1/2 x 6,19 x 25,4,# 70,8 x 10,3 1/4
#6 1/4 REMIT - 3 1/2 x 6,23 x 29,6,# 70,8 x 10,3 1/4
#6 1/4 REMIT - 3 1/2 x 6,23 x 35,6,# 70,8 x 10,3 1/4
#6 1/4 REMIT - 3 1/2 x 6,25 x 38,9,# 70,8 x 10,3 1/4
#6 1/4 REMIT - 3 1/2 x 6,28 x 40,9,# 70,8 x 10,3 1/4
,,,,,
,,,,,
#6 1/4 REMIT - 3 1/2 x 6,8 1/2 X 10 ,1,# 210,8 x 9 1/2,2 3/4
#6 1/4 REMIT - 3 1/2 x 6,11 x 17 ,1,# 210,8 x 9 1/2,2 3/4
#6 1/4 REMIT - 3 1/2 x 6,17 1/2 x 22 1/2,4,# 210,8 x 9 1/2,2 3/4
#6 1/4 REMIT - 3 1/2 x 6,19 x 25,4,# 210,8 x 9 1/2,2 3/4
#6 1/4 REMIT - 3 1/2 x 6,23 x 29,6,# 210,8 x 9 1/2,2 3/4
#6 1/4 REMIT - 3 1/2 x 6,23 x 35,9,# 210,8 x 9 1/2,2 3/4
#6 1/4 REMIT - 3 1/2 x 6,25 x 38,9,# 210,8 x 9 1/2,2 3/4
#6 1/4 REMIT - 3 1/2 x 6,28 x 40,12,# 210,8 x 9 1/2,2 3/4
,,,,,
,,,,,
#6 1/2 Remit - 3 1/2 x 6 1/4,8 1/2 x 10 3/8,1, # 233,8 x 9 7/8,3 3/8
#6 1/2 Remit - 3 1/2 x 6 1/4,11 x 17 ,1, # 233,8 x 9 7/8,3 3/8
#6 1/2 Remit - 3 1/2 x 6 1/4,17 1/2 x 22 1/2,4, # 233,8 x 9 7/8,3 3/8
#6 1/2 Remit - 3 1/2 x 6 1/4,19 x 25,4, # 233,8 x 9 7/8,3 3/8
#6 1/2 Remit - 3 1/2 x 6 1/4,23 x 29,4, # 233,8 x 9 7/8,3 3/8
#6 1/2 Remit - 3 1/2 x 6 1/4,23 x 35,6, # 233,8 x 9 7/8,3 3/8
#6 1/2 Remit - 3 1/2 x 6 1/4,25 x 38,9, # 233,8 x 9 7/8,3 3/8
#6 1/2 Remit - 3 1/2 x 6 1/4,28 x 40,9, # 233,8 x 9 7/8,3 3/8
,,,,,
,,,,,
3 1/2 X 6 1/4  BK,8 5/8 X 8 11/16,1,# 107, 8 1/8 x 8 3/16,1 1/2
3 1/2 X 6 1/4  BK,11 x 17 ,2,# 107, 8 1/8 x 8 3/16,1 1/2
3 1/2 X 6 1/4  BK,17 1/2 x 22 1/2,4,# 107, 8 1/8 x 8 3/16,1 1/2
3 1/2 X 6 1/4  BK,19 x 25,4,# 107, 8 1/8 x 8 3/16,1 1/2
3 1/2 X 6 1/4  BK,23 x 29,6,# 107, 8 1/8 x 8 3/16,1 1/2
3 1/2 X 6 1/4  BK,23 x 35,8,# 107, 8 1/8 x 8 3/16,1 1/2
3 1/2 X 6 1/4  BK,25 x 38,12,# 107, 8 1/8 x 8 3/16,1 1/2
3 1/2 X 6 1/4  BK,28 x 40,12,# 107, 8 1/8 x 8 3/16,1 1/2
,,,,,
,,,,,
3 1/2 X 6 1/4  BK,8  X 9 1/16,1,# 104,7 1/2 x 8 9/16,1 3/4
3 1/2 X 6 1/4  BK,11 x 17 ,1,# 104,7 1/2 x 8 9/16,1 3/4
3 1/2 X 6 1/4  BK,17 1/2 x 22 1/2,4,# 104,7 1/2 x 8 9/16,1 3/4
3 1/2 X 6 1/4  BK,19 x 25,4,# 104,7 1/2 x 8 9/16,1 3/4
3 1/2 X 6 1/4  BK,23 x 29,6,# 104,7 1/2 x 8 9/16,1 3/4
3 1/2 X 6 1/4  BK,23 x 35,9,# 104,7 1/2 x 8 9/16,1 3/4
3 1/2 X 6 1/4  BK,25 x 38,12,# 104,7 1/2 x 8 9/16,1 3/4
3 1/2 X 6 1/4  BK,28 x 40,12,# 104,7 1/2 x 8 9/16,1 3/4
,,,,,
,,,,,
3 1/2 X 6 5/16 - Remit,8 11/16 x 10 3/8,1,# 9,8 3/16 x 9 7/8,3 3/16
3 1/2 X 6 5/16 - Remit,11 x 17 ,1,# 9,8 3/16 x 9 7/8,3 3/16
3 1/2 X 6 5/16 - Remit,17 1/2 x 22 1/2,4,# 9,8 3/16 x 9 7/8,3 3/16
3 1/2 X 6 5/16 - Remit,19 x 25,4,# 9,8 3/16 x 9 7/8,3 3/16
3 1/2 X 6 5/16 - Remit,23 x 29,6,# 9,8 3/16 x 9 7/8,3 3/16
3 1/2 X 6 5/16 - Remit,23 x 35,9,# 9,8 3/16 x 9 7/8,3 3/16
3 1/2 X 6 5/16 - Remit,25 x 38,9,# 9,8 3/16 x 9 7/8,3 3/16
3 1/2 X 6 5/16 - Remit,28 x 40,9,# 9,8 3/16 x 9 7/8,3 3/16
,,,,,
,,,,,
3 1/2 X 7  BK,9 X 9,1,# 51,8 1/2 x 8 1/16,1 1/2
3 1/2 X 7  BK,11 x 17 ,2,# 51,8 1/2 x 8 1/16,1 1/2
3 1/2 X 7  BK,17 1/2 x 22 1/2,4,# 51,8 1/2 x 8 1/16,1 1/2
3 1/2 X 7  BK,19 x 25,4,# 51,8 1/2 x 8 1/16,1 1/2
3 1/2 X 7  BK,23 x 29,6,# 51,8 1/2 x 8 1/16,1 1/2
3 1/2 X 7  BK,23 x 35,8,# 51,8 1/2 x 8 1/16,1 1/2
3 1/2 X 7  BK,25 x 38,8,# 51,8 1/2 x 8 1/16,1 1/2
3 1/2 X 7  BK,28 x 40,12,# 51,8 1/2 x 8 1/16,1 1/2
,,,,,
,,,,,
3 1/2 X 7 1/4  BK,9 1/2 X 8 1/4 ,1,# 52,9 1/4 x 7 3/4,1 1/4
3 1/2 X 7 1/4  BK,11 x 17 ,2,# 52,9 1/4 x 7 3/4,1 1/4
3 1/2 X 7 1/4  BK,17 1/2 x 22 1/2,4,# 52,9 1/4 x 7 3/4,1 1/4
3 1/2 X 7 1/4  BK,19 x 25,6,# 52,9 1/4 x 7 3/4,1 1/4
3 1/2 X 7 1/4  BK,23 x 29,6,# 52,9 1/4 x 7 3/4,1 1/4
3 1/2 X 7 1/4  BK,23 x 35,8,# 52,9 1/4 x 7 3/4,1 1/4
3 1/2 X 7 1/4  BK,25 x 38,8,# 52,9 1/4 x 7 3/4,1 1/4
3 1/2 X 7 1/4  BK,28 x 40,10,# 52,9 1/4 x 7 3/4,1 1/4
,,,,,
,,,,,
3 1/2 X 7 9/16  BK,9 13/16 X 8 5/8,1,# 203,9 5/16 X 8 1/8,1 1/4
3 1/2 X 7 9/16  BK,11 x 17 ,2,# 203,9 5/16 X 8 1/8,1 1/4
3 1/2 X 7 9/16  BK,17 1/2 x 22 1/2,2,# 203,9 5/16 X 8 1/8,1 1/4
3 1/2 X 7 9/16  BK,19 x 25,4,# 203,9 5/16 X 8 1/8,1 1/4
3 1/2 X 7 9/16  BK,23 x 29,6,# 203,9 5/16 X 8 1/8,1 1/4
3 1/2 X 7 9/16  BK,23 x 35,8,# 203,9 5/16 X 8 1/8,1 1/4
3 1/2 X 7 9/16  BK,25 x 38,8,# 203,9 5/16 X 8 1/8,1 1/4
3 1/2 X 7 9/16  BK,28 x 40,8,# 203,9 5/16 X 8 1/8,1 1/4
,,,,,
,,,,,
3 1/2 X 8 3/8  BK,10 3/8 X 7 3/4,1,# 121,9 7/8 X 7 1/4,1/4
3 1/2 X 8 3/8  BK,11 x 17 ,2,# 121,9 7/8 X 7 1/4,1/4
3 1/2 X 8 3/8  BK,17 1/2 x 22 1/2,2,# 121,9 7/8 X 7 1/4,1/4
3 1/2 X 8 3/8  BK,19 x 25,2,# 121,9 7/8 X 7 1/4,1/4
