die_size,sheet_size,number_out,die_number,seal_flap_size
3 5/8 X 7 3/4  DIA,28 x 40,12,# 37,1 5/8
,,,,
,,,,
3 5/8 X 7 7/8  DIA,11 x 17,2,# 168,1 3/4
3 5/8 X 7 7/8  DIA,17 1/2 x 22 1/2,4,# 168,1 3/4
3 5/8 X 7 7/8  DIA,19 x 25,5,# 168,1 3/4
3 5/8 X 7 7/8  DIA,23 x 29,7,# 168,1 3/4
3 5/8 X 7 7/8  DIA,23 x 35,9,# 168,1 3/4
3 5/8 X 7 7/8  DIA,25 x 38,10,# 168,1 3/4
3 5/8 X 7 7/8  DIA,28 x 40,12,# 168,1 3/4
,,,,
,,,,
3 5/8 X 8  DIA,11 x 17,2,# 179,1 5/8
3 5/8 X 8  DIA,17 1/2 x 22 1/2,4,# 179,1 5/8
3 5/8 X 8  DIA,19 x 25,5,# 179,1 5/8
3 5/8 X 8  DIA,23 x 29,7,# 179,1 5/8
3 5/8 X 8  DIA,23 x 35,9,# 179,1 5/8
3 5/8 X 8  DIA,25 x 38,10,# 179,1 5/8
3 5/8 X 8  DIA,28 x 40,12,# 179,1 5/8
,,,,
,,,,
3 5/8 X 8 1/4  DIA,11 x 17,2,# 210,1 5/8
3 5/8 X 8 1/4  DIA,17 1/2 x 22 1/2,4,# 210,1 5/8
3 5/8 X 8 1/4  DIA,19 x 25,5,# 210,1 5/8
3 5/8 X 8 1/4  DIA,23 x 29,7,# 210,1 5/8
3 5/8 X 8 1/4  DIA,23 x 35,8,# 210,1 5/8
3 5/8 X 8 1/4  DIA,25 x 38,8,# 210,1 5/8
3 5/8 X 8 1/4  DIA,28 x 40,12,# 210,1 5/8
,,,,
,,,,
#8 5/8 - 3 5/8 X 8 5/8  DIA,11 x 17,2,# 5,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,17 1/2 x 22 1/2,3,# 5,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,19 x 25,4,# 5,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,23 x 29,7,# 5,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,23 x 35,8,# 5,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,25 x 38,9,# 5,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,28 x 40,12,# 5,1 1/2
,,,,
,,,,
#8 5/8 - 3 5/8 X 8 5/8  DIA,11 x 17,2,# 169,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,17 1/2 x 22 1/2,3,# 169,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,19 x 25,4,# 169,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,23 x 29,7,# 169,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,23 x 35,8,# 169,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,25 x 38,9,# 169,1 1/2
#8 5/8 - 3 5/8 X 8 5/8  DIA,28 x 40,12,# 169,1 1/2
,,,,
,,,,
#8 5/8 - 3 5/8 X 8 5/8  DIA,11 x 17,1,# 251,1  11/16
#8 5/8 - 3 5/8 X 8 5/8  DIA,17 1/2 x 22 1/2,3,# 251,1  11/16
#8 5/8 - 3 5/8 X 8 5/8  DIA,19 x 25,4,# 251,1  11/16
#8 5/8 - 3 5/8 X 8 5/8  DIA,23 x 29,6,# 251,1  11/16
#8 5/8 - 3 5/8 X 8 5/8  DIA,23 x 35,8,# 251,1  11/16
#8 5/8 - 3 5/8 X 8 5/8  DIA,25 x 38,9,# 251,1  11/16
#8 5/8 - 3 5/8 X 8 5/8  DIA,28 x 40,11,# 251,1  11/16
,,,,
,,,,
3 5/8 X 8 3/4  DIA,11 x 17,1,# 282,1  15/16
3 5/8 X 8 3/4  DIA,17 1/2 x 22 1/2,3,# 282,1  15/16
3 5/8 X 8 3/4  DIA,19 x 25,4,# 282,1  15/16
3 5/8 X 8 3/4  DIA,23 x 29,6,# 282,1  15/16
3 5/8 X 8 3/4  DIA,23 x 35,8,# 282,1  15/16
