die_size,sheet_size,number_out,die_number,seal_flap_size
3 15/16 x 5 1/8   DIA,23 x 29,6,# 188,2 1/4
3 15/16 x 5 1/8   DIA,23 x 35,12,# 188,2 1/4
3 15/16 x 5 1/8   DIA,25 x 38,15,# 188,2 1/4
3 15/16 x 5 1/8   DIA,28 x 40,15,# 188,2 1/4
,,,,
,,,,
3 15/16 x 8 1/8   DIA,11 x 17,2,# 11,1 3/4
3 15/16 x 8 1/8   DIA,17 1/2 x 22 1/2,6,# 11,1 3/4
3 15/16 x 8 1/8   DIA,19 x 25,6,# 11,1 3/4
3 15/16 x 8 1/8   DIA,23 x 29,6,# 11,1 3/4
3 15/16 x 8 1/8   DIA,23 x 35,12,# 11,1 3/4
3 15/16 x 8 1/8   DIA,25 x 38,15,# 11,1 3/4
3 15/16 x 8 1/8   DIA,28 x 40,15,# 11,1 3/4
,,,,
,,,,
4 x 5   DIA,11 x 17,2,# 342,2 7/8
4 x 5   DIA,17 1/2 x 22 1/2,6,# 342,2 7/8
4 x 5   DIA,19 x 25,6,# 342,2 7/8
4 x 5   DIA,23 x 29,12,# 342,2 7/8
4 x 5   DIA,23 x 35,12,# 342,2 7/8
4 x 5   DIA,25 x 38,15,# 342,2 7/8
4 x 5   DIA,28 x 40,15,# 342,2 7/8
,,,,
,,,,
4 x 5 7/16  DIA,11 x 17,2,# 164,2 1/2
4 x 5 7/16  DIA,17 1/2 x 22 1/2,5,# 164,2 1/2
4 x 5 7/16  DIA,19 x 25,6,# 164,2 1/2
4 x 5 7/16  DIA,23 x 29,9,# 164,2 1/2
4 x 5 7/16  DIA,23 x 35,12,# 164,2 1/2
4 x 5 7/16  DIA,25 x 38,15,# 164,2 1/2
4 x 5 7/16  DIA,28 x 40,15,# 164,2 1/2
,,,,
,,,,
4 x 5 1/2  DIA,11 x 17,2,# 18,2
4 x 5 1/2  DIA,17 1/2 x 22 1/2,5,# 18,2
4 x 5 1/2  DIA,19 x 25,6,# 18,2
4 x 5 1/2  DIA,23 x 29,9,# 18,2
4 x 5 1/2  DIA,23 x 35,12,# 18,2
4 x 5 1/2  DIA,25 x 38,15,# 18,2
4 x 5 1/2  DIA,28 x 40,15,# 18,2
,,,,
,,,,
4 x 6  DIA,11 x 17,2,# 19,3 1/8
4 x 6  DIA,17 1/2 x 22 1/2,4,# 19,3 1/8
4 x 6  DIA,19 x 25,6,# 19,3 1/8
4 x 6  DIA,23 x 29,8,# 19,3 1/8
4 x 6  DIA,23 x 35,9,# 19,3 1/8
4 x 6  DIA,25 x 38,12,# 19,3 1/8
4 x 6  DIA,28 x 40,15,# 19,3 1/8
,,,,
,,,,
4 x 6 1/4  DIA,11 x 17,2,# 151,1 7/8
4 x 6 1/4  DIA,17 1/2 x 22 1/2,4,# 151,1 7/8
4 x 6 1/4  DIA,19 x 25,6,# 151,1 7/8
4 x 6 1/4  DIA,23 x 29,8,# 151,1 7/8
4 x 6 1/4  DIA,23 x 35,9,# 151,1 7/8
4 x 6 1/4  DIA,25 x 38,12,# 151,1 7/8
4 x 6 1/4  DIA,28 x 40,13,# 151,1 7/8
,,,,
,,,,
4 x 7  DIA,11 x 17,2,# 20,1 3/4
4 x 7  DIA,17 1/2 x 22 1/2,4,# 20,1 3/4
4 x 7  DIA,19 x 25,5,# 20,1 3/4
4 x 7  DIA,23 x 29,7,# 20,1 3/4
4 x 7  DIA,23 x 35,9,# 20,1 3/4
4 x 7  DIA,25 x 38,11,# 20,1 3/4
4 x 7  DIA,28 x 40,13,# 20,1 3/4
,,,,
,,,,
4 x 7  DIA,11 x 17,2,# 1,1 3/4
4 x 7  DIA,17 1/2 x 22 1/2,4,# 1,1 3/4
4 x 7  DIA,19 x 25,5,# 1,1 3/4
4 x 7  DIA,23 x 29,7,# 1,1 3/4
4 x 7  DIA,23 x 35,9,# 1,1 3/4
4 x 7  DIA,25 x 38,11,# 1,1 3/4
4 x 7  DIA,28 x 40,13,# 1,1 3/4
,,,,
,,,,
4 x 7 11/16  DIA,11 x 17,2,# 13,1 1/2
4 x 7 11/16  DIA,17 1/2 x 22 1/2,4,# 13,1 1/2
4 x 7 11/16  DIA,19 x 25,4,# 13,1 1/2
4 x 7 11/16  DIA,23 x 29,7,# 13,1 1/2
4 x 7 11/16  DIA,23 x 35,8,# 13,1 1/2
4 x 7 11/16  DIA,25 x 38,10,# 13,1 1/2
4 x 7 11/16  DIA,28 x 40,13,# 13,1 1/2
,,,,
,,,,
4 x 8  DIA,11 x 17,1,# 189,2 3/8
4 x 8  DIA,17 1/2 x 22 1/2,3,# 189,2 3/8
4 x 8  DIA,19 x 25,4,# 189,2 3/8
4 x 8  DIA,23 x 29,6,# 189,2 3/8
4 x 8  DIA,23 x 35,7,# 189,2 3/8
4 x 8  DIA,25 x 38,8,# 189,2 3/8
4 x 8  DIA,28 x 40,10,# 189,2 3/8
,,,,
,,,,
4 x 8 1/4  DIA,11 x 17,1,# 347,2 3/8
4 x 8 1/4  DIA,17 1/2 x 22 1/2,3,# 347,2 3/8
4 x 8 1/4  DIA,19 x 25,4,# 347,2 3/8
4 x 8 1/4  DIA,23 x 29,5,# 347,2 3/8
4 x 8 1/4  DIA,23 x 35,6,# 347,2 3/8
4 x 8 1/4  DIA,25 x 38,8,# 347,2 3/8
4 x 8 1/4  DIA,28 x 40,9,# 347,2 3/8
,,,,
,,,,
4 x 8 3/8  DIA,11 x 17,1,# 21,1 3/4
4 x 8 3/8  DIA,17 1/2 x 22 1/2,3,# 21,1 3/4
4 x 8 3/8  DIA,19 x 25,4,# 21,1 3/4
4 x 8 3/8  DIA,23 x 29,5,# 21,1 3/4
4 x 8 3/8  DIA,23 x 35,6,# 21,1 3/4
4 x 8 3/8  DIA,25 x 38,8,# 21,1 3/4
4 x 8 3/8  DIA,28 x 40,9,# 21,1 3/4
,,,,
,,,,
4 x 8 1/2  DIA,11 x 17,1,# 261,1 7/8
4 x 8 1/2  DIA,17 1/2 x 22 1/2,3,# 261,1 7/8
4 x 8 1/2  DIA,19 x 25,4,# 261,1 7/8
4 x 8 1/2  DIA,23 x 29,5,# 261,1 7/8
4 x 8 1/2  DIA,23 x 35,6,# 261,1 7/8
4 x 8 1/2  DIA,25 x 38,8,# 261,1 7/8
4 x 8 1/2  DIA,28 x 40,9,# 261,1 7/8
,,,,
,,,,
4 x 8 7/8  DIA,11 x 17,1,# 12,1 7/8
4 x 8 7/8  DIA,17 1/2 x 22 1/2,3,# 12,1 7/8
4 x 8 7/8  DIA,19 x 25,4,# 12,1 7/8
4 x 8 7/8  DIA,23 x 29,5,# 12,1 7/8
4 x 8 7/8  DIA,23 x 35,6,# 12,1 7/8
4 x 8 7/8  DIA,25 x 38,8,# 12,1 7/8
4 x 8 7/8  DIA,28 x 40,9,# 12,1 7/8
,,,,
,,,,
4 x 9  DIA,11 x 17,1,# 39,1 5/8
4 x 9  DIA,17 1/2 x 22 1/2,3,# 39,1 5/8
4 x 9  DIA,19 x 25,4,# 39,1 5/8
4 x 9  DIA,23 x 29,6,# 39,1 5/8
4 x 9  DIA,23 x 35,7,# 39,1 5/8
4 x 9  DIA,25 x 38,9,# 39,1 5/8
4 x 9  DIA,28 x 40,11,# 39,1 5/8
,,,,
,,,,
4 x 9 1/4  DIA,11 x 17,1,# 288,1 7/8
4 x 9 1/4  DIA,17 1/2 x 22 1/2,3,# 288,1 7/8
4 x 9 1/4  DIA,19 x 25,3,# 288,1 7/8
4 x 9 1/4  DIA,23 x 29,5,# 288,1 7/8
4 x 9 1/4  DIA,23 x 35,6,# 288,1 7/8
4 x 9 1/4  DIA,25 x 38,7,# 288,1 7/8
4 x 9 1/4  DIA,28 x 40,8,# 288,1 7/8
,,,,
,,,,
4 1/16 x 6 1/4  DIA,11 x 17,2,# 259,1  15/16
4 1/16 x 6 1/4  DIA,17 1/2 x 22 1/2,4,# 259,1  15/16
4 1/16 x 6 1/4  DIA,19 x 25,6,# 259,1  15/16
4 1/16 x 6 1/4  DIA,23 x 29,7,# 259,1  15/16
4 1/16 x 6 1/4  DIA,23 x 35,9,# 259,1  15/16
4 1/16 x 6 1/4  DIA,25 x 38,12,# 259,1  15/16
4 1/16 x 6 1/4  DIA,28 x 40,15,# 259,1  15/16
,,,,
,,,,
4 1/8 x 4 7/8   DIA,11 x 17,2,# 341,2 7/8
4 1/8 x 4 7/8   DIA,17 1/2 x 22 1/2,6,# 341,2 7/8
4 1/8 x 4 7/8   DIA,19 x 25,6,# 341,2 7/8
4 1/8 x 4 7/8   DIA,23 x 29,10,# 341,2 7/8
4 1/8 x 4 7/8   DIA,23 x 35,12,# 341,2 7/8
4 1/8 x 4 7/8   DIA,25 x 38,15,# 341,2 7/8
4 1/8 x 4 7/8   DIA,28 x 40,15,# 341,2 7/8
,,,,
,,,,
4 1/8 x 5 1/4   DIA,11 x 17,2,# 272,1 3/4
4 1/8 x 5 1/4   DIA,17 1/2 x 22 1/2,5,# 272,1 3/4
4 1/8 x 5 1/4   DIA,19 x 25,6,# 272,1 3/4
4 1/8 x 5 1/4   DIA,23 x 29,9,# 272,1 3/4
4 1/8 x 5 1/4   DIA,23 x 35,11,# 272,1 3/4
4 1/8 x 5 1/4   DIA,25 x 38,12,# 272,1 3/4
4 1/8 x 5 1/4   DIA,28 x 40,14,# 272,1 3/4
,,,,
,,,,
4 1/8 x 5 1/2   DIA,11 x 17,2,# 7,2 3/16
4 1/8 x 5 1/4   DIA,17 1/2 x 22 1/2,5,# 7,2 3/16
4 1/8 x 5 1/4   DIA,19 x 25,6,# 7,2 3/16
4 1/8 x 5 1/4   DIA,23 x 29,8,# 7,2 3/16
4 1/8 x 5 1/4   DIA,23 x 35,10,# 7,2 3/16
4 1/8 x 5 1/4   DIA,25 x 38,12,# 7,2 3/16
4 1/8 x 5 1/4   DIA,28 x 40,14,# 7,2 3/16
,,,,
,,,,
4 1/8 x 6 1/8   DIA,11 x 17,2,# 191,2 1/2
4 1/8 x 6 1/8   DIA,17 1/2 x 22 1/2,4,# 191,2 1/2
4 1/8 x 6 1/8   DIA,19 x 25,6,# 191,2 1/2
4 1/8 x 6 1/8   DIA,23 x 29,7,# 191,2 1/2
4 1/8 x 6 1/8   DIA,23 x 35,9,# 191,2 1/2
4 1/8 x 6 1/8   DIA,25 x 38,12,# 191,2 1/2
4 1/8 x 6 1/8   DIA,28 x 40,14,# 191,2 1/2
,,,,
,,,,
4 1/8 x 6 7/8   DIA,11 x 17,2,# 175,1 15/16
4 1/8 x 6 1/8   DIA,17 1/2 x 22 1/2,4,# 175,1 15/16
4 1/8 x 6 1/8   DIA,19 x 25,4,# 175,1 15/16
4 1/8 x 6 1/8   DIA,23 x 29,6,# 175,1 15/16
4 1/8 x 6 1/8   DIA,23 x 35,8,# 175,1 15/16
4 1/8 x 6 1/8   DIA,25 x 38,10,# 175,1 15/16
4 1/8 x 6 1/8   DIA,28 x 40,12,# 175,1 15/16
,,,,
,,,,
4 1/8 x 7 1/2   DIA,11 x 17,2,# 22,1 3/4
4 1/8 x 7 1/2   DIA,17 1/2 x 22 1/2,4,# 22,1 3/4
4 1/8 x 7 1/2   DIA,19 x 25,5,# 22,1 3/4
4 1/8 x 7 1/2   DIA,23 x 29,6,# 22,1 3/4
4 1/8 x 7 1/2   DIA,23 x 35,8,# 22,1 3/4
4 1/8 x 7 1/2   DIA,25 x 38,10,# 22,1 3/4
4 1/8 x 7 1/2   DIA,28 x 40,12,# 22,1 3/4
,,,,
,,,,
4 1/8 x 8   DIA,11 x 17,2,# 40,2 1/8
4 1/8 x 8   DIA,17 1/2 x 22 1/2,4,# 40,2 1/8
4 1/8 x 8   DIA,19 x 25,4,# 40,2 1/8
4 1/8 x 8   DIA,23 x 29,6,# 40,2 1/8
4 1/8 x 8   DIA,23 x 35,8,# 40,2 1/8
4 1/8 x 8   DIA,25 x 38,9,# 40,2 1/8
4 1/8 x 8   DIA,28 x 40,11,# 40,2 1/8
,,,,
,,,,
4 1/8 x 9   DIA,11 x 17,1,# 33,1 3/4
4 1/8 x 9   DIA,17 1/2 x 22 1/2,3,# 33,1 3/4
4 1/8 x 9   DIA,19 x 25,4,# 33,1 3/4
4 1/8 x 9   DIA,23 x 29,6,# 33,1 3/4
4 1/8 x 9   DIA,23 x 35,7,# 33,1 3/4
4 1/8 x 9   DIA,25 x 38,8,# 33,1 3/4
4 1/8 x 9   DIA,28 x 40,9,# 33,1 3/4
,,,,
,,,,
4 1/8 x 9   DIA,11 x 17,1,# 170,1 3/4
4 1/8 x 9   DIA,17 1/2 x 22 1/2,3,# 170,1 3/4
4 1/8 x 9   DIA,19 x 25,4,# 170,1 3/4
4 1/8 x 9   DIA,23 x 29,6,# 170,1 3/4
4 1/8 x 9   DIA,23 x 35,7,# 170,1 3/4
4 1/8 x 9   DIA,25 x 38,8,# 170,1 3/4
4 1/8 x 9   DIA,28 x 40,9,# 170,1 3/4
,,,,
,,,,
4 1/8 x 9 1/8   DIA,11 x 17,1,# 181,1  15/16
4 1/8 x 9 1/8   DIA,17 1/2 x 22 1/2,3,# 181,1  15/16
4 1/8 x 9 1/8   DIA,19 x 25,4,# 181,1  15/16
4 1/8 x 9 1/8   DIA,23 x 29,5,# 181,1  15/16
4 1/8 x 9 1/8   DIA,23 x 35,6,# 181,1  15/16
4 1/8 x 9 1/8   DIA,25 x 38,8,# 181,1  15/16
4 1/8 x 9 1/8   DIA,28 x 40,9,# 181,1  15/16
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 36,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 36,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 36,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 36,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 36,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 36,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 36,1 3/4
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 34,2
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 34,2
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,3,# 34,2
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 34,2
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,6,# 34,2
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,7,# 34,2
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 34,2
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 35,1 9/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 35,1 9/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 35,1 9/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 35,1 9/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 35,1 9/16
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 35,1 9/16
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 35,1 9/16
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 40,2
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 40,2
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,3,# 40,2
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 40,2
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,6,# 40,2
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,7,# 40,2
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,8,# 40,2
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 108,1 5/8
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 108,1 5/8
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 108,1 5/8
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 108,1 5/8
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,6,# 108,1 5/8
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 108,1 5/8
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 108,1 5/8
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 109,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 109,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 109,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,6,# 109,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,6,# 109,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 109,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,10,# 109,1 7/16
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 171,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 171,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 171,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 171,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,6,# 171,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 171,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 171,1 3/4
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 172,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 172,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 172,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 172,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 172,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 172,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 172,1  11/16
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 173 & 174,1 7/8
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 173 & 174,1 7/8
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 173 & 174,1 7/8
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 173 & 174,1 7/8
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 173 & 174,1 7/8
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 173 & 174,1 7/8
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 173 & 174,1 7/8
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 114 - N,2 1/8
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 114 - N,2 1/8
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,3,# 114 - N,2 1/8
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,4,# 114 - N,2 1/8
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,6,# 114 - N,2 1/8
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,6,# 114 - N,2 1/8
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,7,# 114 - N,2 1/8
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 108 - N,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 108 - N,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,3,# 108 - N,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,4,# 108 - N,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,6,# 108 - N,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,6,# 108 - N,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,7,# 108 - N,1 1/2
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 231,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 231,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,3,# 231,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 231,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 231,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 231,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 231,1 1/2
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 144,2 3/8
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 144,2 3/8
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,2,# 144,2 3/8
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,4,# 144,2 3/8
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,5,# 144,2 3/8
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,6,# 144,2 3/8
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,8,# 144,2 3/8
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 31,1 3/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 31,1 3/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,2,# 31,1 3/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,4,# 31,1 3/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,5,# 31,1 3/16
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,6,# 31,1 3/16
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,8,# 31,1 3/16
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 33,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 33,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,2,# 33,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,4,# 33,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,5,# 33,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,6,# 33,1 7/16
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,8,# 33,1 7/16
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 30,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 30,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,2,# 30,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,4,# 30,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,5,# 30,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,6,# 30,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,8,# 30,1 1/2
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 29,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 29,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,2,# 29,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,4,# 29,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,5,# 29,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,6,# 29,1 1/2
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,8,# 29,1 1/2
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 26,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 26,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 26,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 26,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 26,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 26,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 26,1  11/16
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 32,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 32,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 32,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 32,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 32,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 32,1  11/16
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 32,1  11/16
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 34,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 34,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 34,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 34,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 34,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 34,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 34,1 3/4
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 25,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 25,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 25,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 25,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,6,# 25,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 25,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 25,1 3/4
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 28,1  13/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 28,1  13/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 28,1  13/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 28,1  13/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,7,# 28,1  13/16
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,8,# 28,1  13/16
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,9,# 28,1  13/16
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 21,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 21,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,2,# 21,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,4,# 21,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,23 x 35,5,# 21,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,25 x 38,6,# 21,1 3/4
#10 - 4 1/8 x 9 1/2   DIA,28 x 40,8,# 21,1 3/4
,,,,
,,,,
#10 - 4 1/8 x 9 1/2   DIA,11 x 17,1,# 22,1 11/16
#10 - 4 1/8 x 9 1/2   DIA,17 1/2 x 22 1/2,3,# 22,1 11/16
#10 - 4 1/8 x 9 1/2   DIA,19 x 25,4,# 22,1 11/16
#10 - 4 1/8 x 9 1/2   DIA,23 x 29,5,# 22,1 11/16
