die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
6 3/4 x 8 3/4  BK,25 X 38,4,# 216,10 3/4 X 14 9/16,2 1/4
6 3/4 x 8 3/4  BK,28 X 40,4,# 216,10 3/4 X 14 9/16,2 1/4
,,,,,
,,,,,
6 13/16 x 7 11/16  BK,9 15/16 X 15 1/16,1,# 217,9 7/16 X 14 9/16,2 1/4
6 13/16 x 7 11/16  BK,11 X 17 ,1,# 217,9 7/16 X 14 9/16,2 1/4
6 13/16 x 7 11/16  BK,17 1/2 X 22 1/2,1,# 217,9 7/16 X 14 9/16,2 1/4
6 13/16 x 7 11/16  BK,19 X 25,2,# 217,9 7/16 X 14 9/16,2 1/4
6 13/16 x 7 11/16  BK,23 X 29,2,# 217,9 7/16 X 14 9/16,2 1/4
6 13/16 x 7 11/16  BK,23 X 35,4,# 217,9 7/16 X 14 9/16,2 1/4
6 13/16 x 7 11/16  BK,25 X 38,4,# 217,9 7/16 X 14 9/16,2 1/4
6 13/16 x 7 11/16  BK,28 X 40,6,# 217,9 7/16 X 14 9/16,2 1/4
,,,,,
,,,,,
7 x 10  BK,12 1/2 X 15 5/8,1,# 211,12 X 15 1/8,1 5/8
7 x 10  BK,11 X 17 ,0,# 211,12 X 15 1/8,1 5/8
7 x 10  BK,17 1/2 X 22 1/2,1,# 211,12 X 15 1/8,1 5/8
7 x 10  BK,19 X 25,1,# 211,12 X 15 1/8,1 5/8
7 x 10  BK,23 X 29,1,# 211,12 X 15 1/8,1 5/8
7 x 10  BK,23 X 35,2,# 211,12 X 15 1/8,1 5/8
7 x 10  BK,25 X 38,4,# 211,12 X 15 1/8,1 5/8
7 x 10  BK,28 X 40,4,# 211,12 X 15 1/8,1 5/8
,,,,,
,,,,,
7 x 10  BK,12 1/2 X 15 5/8,1,# 91,12 X 15 1/4,2
7 x 10  BK,11 X 17 ,0,# 91,12 X 15 1/4,2
7 x 10  BK,17 1/2 X 22 1/2,1,# 91,12 X 15 1/4,2
7 x 10  BK,19 X 25,1,# 91,12 X 15 1/4,2
7 x 10  BK,23 X 29,1,# 91,12 X 15 1/4,2
7 x 10  BK,23 X 35,2,# 91,12 X 15 1/4,2
7 x 10  BK,25 X 38,4,# 91,12 X 15 1/4,2
7 x 10  BK,28 X 40,4,# 91,12 X 15 1/4,2
,,,,,
,,,,,
7 1/4 x 7 1/4  BK,9 1/4 X 15 7/8,1,# 226,8 3/4 X 15 3/8,2 1/2
7 1/4 x 7 1/4  BK,11 X 17 ,1,# 226,8 3/4 X 15 3/8,2 1/2
7 1/4 x 7 1/4  BK,17 1/2 X 22 1/2,1,# 226,8 3/4 X 15 3/8,2 1/2
7 1/4 x 7 1/4  BK,19 X 25,2,# 226,8 3/4 X 15 3/8,2 1/2
7 1/4 x 7 1/4  BK,23 X 29,2,# 226,8 3/4 X 15 3/8,2 1/2
7 1/4 x 7 1/4  BK,23 X 35,4,# 226,8 3/4 X 15 3/8,2 1/2
7 1/4 x 7 1/4  BK,25 X 38,4,# 226,8 3/4 X 15 3/8,2 1/2
7 1/4 x 7 1/4  BK,28 X 40,6,# 226,8 3/4 X 15 3/8,2 1/2
,,,,,
,,,,,
7 1/4 x 7 1/4  BK,9 1/4 X 15 7/8,1,# 234,9 1/4 X 15 1/16,11/16
7 1/4 x 7 1/4  BK,11 X 17 ,1,# 234,9 1/4 X 15 1/16,11/16
7 1/4 x 7 1/4  BK,17 1/2 X 22 1/2,1,# 234,9 1/4 X 15 1/16,11/16
7 1/4 x 7 1/4  BK,19 X 25,2,# 234,9 1/4 X 15 1/16,11/16
7 1/4 x 7 1/4  BK,23 X 29,2,# 234,9 1/4 X 15 1/16,11/16
7 1/4 x 7 1/4  BK,23 X 35,4,# 234,9 1/4 X 15 1/16,11/16
7 1/4 x 7 1/4  BK,25 X 38,4,# 234,9 1/4 X 15 1/16,11/16
7 1/4 x 7 1/4  BK,28 X 40,4,# 234,9 1/4 X 15 1/16,11/16
,,,,,
,,,,,
7 3/8 x 7 3/8  BK,9 3/4 X 16 1/2,1,# 93,9 1/4 X 16,1 1/2
7 3/8 x 7 3/8  BK,11 X 17 ,1,# 93,9 1/4 X 16,1 1/2
7 3/8 x 7 3/8  BK,17 1/2 X 22 1/2,1,# 93,9 1/4 X 16,1 1/2
7 3/8 x 7 3/8  BK,19 X 25,2,# 93,9 1/4 X 16,1 1/2
7 3/8 x 7 3/8  BK,23 X 29,2,# 93,9 1/4 X 16,1 1/2
7 3/8 x 7 3/8  BK,23 X 35,4,# 93,9 1/4 X 16,1 1/2
7 3/8 x 7 3/8  BK,25 X 38,4,# 93,9 1/4 X 16,1 1/2
7 3/8 x 7 3/8  BK,28 X 40,4,# 93,9 1/4 X 16,1 1/2
,,,,,
,,,,,
7 3/8 x 12  BK,14 1/2 X 16 1/4,1,# 92,14 X 15 3/4,1 1/2
7 3/8 x 12  BK,11 X 17 ,0,# 92,14 X 15 3/4,1 1/2
7 3/8 x 12  BK,17 1/2 X 22 1/2,1,# 92,14 X 15 3/4,1 1/2
7 3/8 x 12  BK,19 X 25,1,# 92,14 X 15 3/4,1 1/2
7 3/8 x 12  BK,23 X 29,1,# 92,14 X 15 3/4,1 1/2
7 3/8 x 12  BK,23 X 35,2,# 92,14 X 15 3/4,1 1/2
7 3/8 x 12  BK,25 X 38,2,# 92,14 X 15 3/4,1 1/2
7 3/8 x 12  BK,28 X 40,4,# 92,14 X 15 3/4,1 1/2
,,,,,
,,,,,
7 1/2 x 10 1/2  BK,12 3/4 X 16 1/2,1,# 124,12 1/4 X 16,1 1/2
7 1/2 x 10 1/2  BK,11 X 17 ,0,# 124,12 1/4 X 16,1 1/2
